"","maxO3","T9","T12","T15","Ne9","Ne12","Ne15","Vx9","Vx12","Vx15","maxO3v","WindDirection"
"20010601",87,15.6,18.5,NA,4,4,8,0.6946,-1.7101,-0.6946,84,"North"
"20010602",82,NA,NA,NA,5,5,7,-4.3301,-4,-3,87,"North"
"20010603",92,15.3,17.6,19.5,2,NA,NA,2.9544,NA,0.5209,82,"East"
"20010604",114,16.2,19.7,NA,1,1,0,NA,0.3473,-0.1736,92,"North"
"20010605",94,NA,20.5,20.4,NA,NA,NA,-0.5,-2.9544,-4.3301,114,"West"
"20010606",80,17.7,19.8,18.3,6,NA,7,-5.6382,-5,-6,94,"West"
"20010607",79,16.8,15.6,14.9,7,8,NA,-4.3301,-1.8794,-3.7588,80,"West"
"20010610",79,14.9,17.5,18.9,5,5,NA,0,-1.0419,-1.3892,99,"North"
"20010611",101,16.1,19.6,21.4,2,NA,4,-0.766,-1.0261,-2.2981,79,"North"
"20010612",106,18.3,NA,22.9,5,NA,NA,1.2856,-2.2981,-3.9392,101,"West"
"20010613",101,17.3,19.3,20.2,7,7,3,-1.5,-1.5,-0.8682,106,"North"
"20010614",90,17.6,20.3,17.4,NA,6,8,NA,-1.0419,-0.6946,101,"South"
"20010615",72,NA,NA,NA,7,5,6,-0.8682,-2.7362,-6.8944,90,"South"
"20010616",70,17.1,18.2,18,NA,7,NA,NA,-7.8785,-5.1962,72,"West"
"20010617",83,15.4,NA,16.6,8,7,NA,-4.3301,-2.0521,-3,70,"North"
"20010618",88,NA,19.1,NA,6,5,4,0.5209,-2.9544,-1.0261,83,"West"
"20010620",NA,21,24.6,26.9,NA,NA,1,-0.342,NA,-0.684,121,"West"
"20010621",NA,NA,NA,NA,NA,NA,NA,0,0.3473,-2.5712,NA,"North"
"20010622",121,19.7,24.2,26.9,2,1,0,NA,NA,2,81,"East"
"20010623",146,23.6,28.6,28.4,NA,NA,NA,1,-1.9284,-1.2155,121,"South"
"20010624",121,20.4,25.2,27.7,1,0,0,NA,-0.5209,1.0261,146,"North"
"20010625",146,NA,NA,NA,NA,0,0,2.9544,6.5778,NA,121,"East"
"20010626",108,24,23.5,NA,4,4,0,-2.5712,-3.8567,-4.6985,146,"South"
"20010627",83,19.7,22.9,24.8,NA,NA,NA,-2.5981,NA,NA,NA,"West"
"20010628",NA,NA,NA,NA,NA,NA,NA,-5.6382,-3.8302,-4.5963,83,"West"
"20010629",81,NA,NA,NA,3,4,4,-1.9284,-2.5712,-4.3301,57,"South"
"20010630",67,NA,23.4,23.7,NA,NA,NA,-1.5321,-3.0642,-0.8682,81,"West"
"20010701",70,NA,NA,NA,5,2,1,0.684,0,1.3681,67,"North"
"20010702",106,NA,NA,NA,NA,0,1,2.8191,3.9392,3.4641,70,"East"
"20010703",139,NA,30.1,31.9,NA,1,4,1.8794,2,1.3681,106,"South"
"20010704",79,NA,NA,NA,NA,NA,NA,0.6946,-0.866,-1.0261,139,"West"
"20010705",NA,16.8,18.2,22,8,8,6,0,0,1.2856,79,"South"
"20010706",NA,20.8,NA,NA,NA,3,4,0,1.7101,NA,93,"North"
"20010707",113,NA,18.2,22.7,NA,NA,NA,-3.7588,-3.9392,-4.6985,97,"West"
"20010708",72,NA,21.2,23.9,7,NA,4,-2.5981,-3.9392,-3.7588,113,"West"
"20010709",88,19.2,22,NA,NA,NA,NA,-1.9696,-3.0642,-4,72,"West"
"20010710",77,19.4,20.7,22.5,7,8,NA,NA,-5.6382,-9,88,"West"
"20010711",71,19.2,21,22.4,6,4,6,-7.8785,-6.8937,-6.8937,77,"West"
"20010712",56,13.8,NA,18.5,8,8,6,1.5,-3.8302,-2.0521,71,"West"
"20010713",45,NA,14.5,15.2,8,NA,8,0.684,4,NA,NA,"East"
